"Test","Trial","Subject","Sex","Strain","DOB","DOT","Week_of_Enrichment","Novel_Object_Side","Novel_object_","Treatment_","Testing_Tank_","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"NT","Trial_13",7,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2371.2399999999998","6.6414","11","12.16","88.08","3.3792800000000001","57","56.2","0","15.6181","41","284.04000000000002","0.32","78.935100000000006","319.08","88.672700000000006","40.24","11.182700000000001","174","161.19999999999999","0","58","71.959999999999994","0.8","91","169.72","0.2","51","72.16","0.92","44.68","246.88","88.08","197.76","-0.177647","-4.4411800000000001"
"FO","Trial_14",7,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2134.73","7.9797000000000002","1","0.24","274.39999999999998","6.6666699999999995E-2","107","47.6","0","13.222200000000001","198","271.8","3.12","75.5","274.52","76.255600000000001","33.28","9.2444400000000009","73","52","1.04","130","143.76","3.04","56","54.16","1.1200000000000001","102","144.56","3.04","108.24","357.64","-","-","0.271671","6.7917800000000002"
"NO_RI_1","Trial_15",7,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","2349.52","6.87798","4","1.84","57.48","0.51122500000000004","68","50.56","11.04","14.047599999999999","97","296.32","0","82.329400000000007","297.88","82.762799999999999","55.52","15.425700000000001","31","17","0","203","192.88","6.6","24","16.760000000000002","0","148","199.64","6.6","110.2","305.08","57.48","302.95999999999998","-1.5543499999999999","-38.858699999999999"
"NO_RI_6","Trial_16",7,"F","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","2251.81","6.6448700000000001","8","6.36","139.24","1.76667","78","69.72","0.12","19.366700000000002","101","266.95999999999998","0.04","74.155600000000007","308.39999999999998","85.666700000000006","44.36","12.3222","90","114.88","0","128","96.12","9.32","64","118.4","0","91","95.8","9.44","0.12","148.52000000000001","139.24","202.36","-4.86966E-2","-1.2174199999999999"
"NT","Trial_17",9,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2358.7199999999998","6.6940600000000003","0","0","-","0","25","28.36","195","7.8777799999999996","28","326.68","0","90.744399999999999","314.8","87.444400000000002","44.48","12.355600000000001","103","144.63999999999999","0","76","109.32","3.44","61","146.12","0","60","109.76","3.16","272.16000000000003","325.64","-","-","0.41690100000000002","10.422499999999999"
"FO","Trial_18",9,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1617.75","5.1104000000000003","7","3.92","210.56","1.0888899999999999","71","61.08","4.12","16.966699999999999","105","272.08","0","75.577799999999996","276.39999999999998","76.777799999999999","61.64","17.122199999999999","332","163.47999999999999","3.6","51","38.4","29.32","186","173.88","3.68","39","38.24","29.44","105.16","359.68","210.56","264.8","-0.56493899999999997","-14.1235"
"NO_RI_1","Trial_19",9,"F","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","1812.25","5.5292000000000003","64","25.56","26.68","7.1","140","209.72","6.84","58.255600000000001","87","107.16","0","29.7667","303.48","84.3","47.36","13.1556","369","170.2","0.32","63","32.840000000000003","253.4","197","199.92","0.36","42","33.44","253.72","13.72","338.92","26.68","237.88","0.89860799999999996","22.465199999999999"
"NO_RI_6","Trial_20",9,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","1726.86","5.4855900000000002","13","5.36","124.92","1.48889","75","181.36","15.08","50.377800000000001","103","150.36000000000001","0","41.7667","285.27999999999997","79.244399999999999","53.4","14.833299999999999","325","209.8","0","10","4.76","212.52","197","220.2","0","10","4.5599999999999996","212.68","46.12","348","124.92","351.04","-0.156558","-3.9139499999999998"
"NT","Trial_21",11,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2841.79","8.0204199999999997","75","102.12","0","28.366700000000002","113","90.4","0.2","25.1111","44","162.52000000000001","1.52","45.144399999999997","342.28","95.077799999999996","16.48","4.5777799999999997","66","59.92","1.36","112","84.92","4.5599999999999996","50","59.72","1.36","84","86.64","4.6399999999999997","1.64","347.4","0.24","354.2","-0.30375000000000002","-7.5937599999999996"
"FO","Trial_22",11,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1442.92","4.2690000000000001","38","83","105.36","23.055599999999998","62","169.48","1.68","47.077800000000003","34","98.32","0","27.3111","264","73.333299999999994","86.44","24.011099999999999","44","23.4","9.68","19","12.24","0","34","21.64","9.68","16","11.84","0","1.68","248.68","260.8","303.56","0.14738000000000001","3.6844999999999999"
"NO_RI_1","Trial_23",11,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","1729.07","5.0944900000000004","47","106.12","9.44","29.520399999999999","89","154.96","2.56","43.106699999999996","48","86.56","0","24.0792","274.56","76.376999999999995","76.28","21.2195","82","52.2","0","27","16.399999999999999","156.63999999999999","53","53.56","0","17","16.16","156.91999999999999","2.56","290.08","127.4","343.08","-0.99722999999999995","-24.930800000000001"
"NO_RI_6","Trial_24",11,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","1828.36","5.3769099999999996","55","166.72","10.84","46.311100000000003","81","134","3.56","37.222200000000001","34","54.4","0","15.1111","268.56","74.599999999999994","86.84","24.122199999999999","80","59.12","0","35","17.399999999999999","139.56","46","60.4","0","25","16.88","139.68","3.56","211.6","10.84","259.8","-1.0358400000000001","-25.895900000000001"
"NT","Trial_25",13,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","3165.17","8.8117099999999997","10","8.4","0.64","2.3333300000000001","68","112.92","104.8","31.366700000000002","65","229.44","0","63.7333","338.8","94.111099999999993","21","5.8333300000000001","151","98.28","0","140","95.92","1","88","102.16","0","101","96.44","1.04","147.6","297.39999999999998","299.32","299.32","0.66764800000000002","16.691199999999998"
"FO","Trial_26",13,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2015.78","5.9709000000000003","6","3.6","254.72","1","105","89.68","76.44","24.911100000000001","113","256","0","71.111099999999993","308.08","85.577799999999996","43.96","12.2111","142","134.84","48.92","45","11.4","55.84","73","140.4","70.84","18","8.1199999999999992","87.6","83.28","318.44","272.88","302","1.82483","45.620899999999999"
"NO_RI_1","Trial_27",13,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","2001.48","5.83453","14","6.76","51.56","1.87778","89","84.24","0.4","23.4","84","258.36","0","71.7667","287.88","79.966700000000003","69.92","19.4222","311","200.32","0","27","60.4","19.72","189","207.6","0","21","59.64","19.84","0.4","310.08","51.56","286.8","1.62107","40.526600000000002"
"NO_RI_6","Trial_28",13,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","2459.16","7.1720699999999997","15","7.56","3.08","2.1","61","73.52","3.44","20.4222","77","267.52","0.12","74.311099999999996","324.56","90.155600000000007","26.36","7.3222199999999997","122","62.72","0.12","74","51.12","46.4","95","61.96","0.12","62","49.52","46.52","3.44","310.08","143.28","283.72000000000003","0.47606799999999999","11.9017"
"NT","Trial_29",15,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","3947.29","11.0581","73","53.08","19","14.7461","172","146.52000000000001","0.16","40.704500000000003","98","147.52000000000001","0","40.982300000000002","350.52","97.377499999999998","9.2799999999999994","2.5780599999999998","101","72.28","2","146","80.16","0","76","74.239999999999995","2","133","81.760000000000005","0","0.16","350.96","39.119999999999997","331","3.4795199999999999","86.988100000000003"
"FO","Trial_30",15,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","3502.25","9.9382800000000007","77","115.48","0.8","32.084899999999998","146","193.68","0.04","53.811999999999998","63","44.92","0","12.480600000000001","352.4","97.910600000000002","7.04","1.9559899999999999","37","16.559999999999999","0.28000000000000003","157","83.8","0","28","16.48","0.36","118","84.24","0","0.04","339.8","5.08","338.2","-0.167325","-4.1831199999999997"
"NO_RI_1","Trial_31",15,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","3814.21","10.9015","98","62.2","4.2","17.277799999999999","172","219","4.76","60.833300000000001","74","69.52","0.16","19.3111","351.68","97.688900000000004","5.84","1.62222","67","43.96","0.32","154","83.4","2.36","54","44.36","0.32","138","81.8","2.36","4.76","327.60000000000002","52.24","347.92","1.73848","43.462000000000003"
"NO_RI_6","Trial_32",15,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","2629.71","7.5574899999999996","89","162.36000000000001","0.04","45.1","122","153.08000000000001","0","42.522199999999998","30","40.119999999999997","0.16","11.144399999999999","337.28","93.688900000000004","19.559999999999999","5.4333299999999998","17","8.2799999999999994","0.16","178","67.44","0.36","14","7.88","0.16","100","69.84","0.36","0.36","343.16","0.04","335.44","-0.593109","-14.8277"
"NT","Trial_33",17,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1784.33","5.0132899999999996","6","8.6","221.92","2.3891499999999999","29","40.04","192.84","11.1235","22","304.72000000000003","0","84.653899999999993","306.56","85.165000000000006","53.24","14.7905","90","105.68","15.2","55","67.760000000000005","2.4","58","107.32","15.52","45","65.44","2.44","194.8","345.36","221.92","304.39999999999998","0.54604600000000003","13.6511"
"FO","Trial_34",17,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1230.07","3.4767299999999999","1","0.76","281.48","0.21111099999999999","24","23.56","1.1599999999999999","6.5444399999999998","26","330.4","0","91.777799999999999","262.56","72.933300000000003","96.44","26.788900000000002","109","106.44","5.32","0","0","-","74","99.2","5.48","0","0","-","356.92","356.92","281.48","281.48","0.27930500000000003","6.9826199999999998"
"NO_RI_1","Trial_35",17,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","937.51499999999999","2.6311","0","0","-","0","2","0.6","7.56","0.16666700000000001","4","358.88","0","99.688900000000004","127.08","35.299999999999997","232.4","64.555599999999998","18","6.44","2.64","30","27.12","54.68","11","5.32","16.399999999999999","27","30.96","54.88","-","-","-","-","-0.24197299999999999","-6.0493300000000003"
"NO_RI_6","Trial_36",17,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","401.06700000000001","1.1460399999999999","0","0","-","0","7","7.44","0.84","2.0666699999999998","9","347.12","0","96.422200000000004","41.28","11.466699999999999","312.12","86.7","19","250.48","0","8","85.88","271.52","12","250.52","0","4","86.56","271.56","0.84","8.0399999999999991","-","-","1.13676","28.419"
"NT","Trial_37",19,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2138.14","6.0304000000000002","25","38.799999999999997","0","10.777799999999999","58","79.040000000000006","25.24","21.9556","36","236.68","1.64","65.744399999999999","321.95999999999998","89.433300000000003","37","10.277799999999999","70","59.04","3.32","88","122.36","1.92","50","59.56","3.4","59","125.36","1.8","177.76","188.68","62.8","337.6","-0.131994","-3.2998400000000001"
"FO","Trial_38",19,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2924.5","8.4689499999999995","46","193.8","5.52","53.839300000000001","116","147.84","2.3199999999999998","41.071199999999997","41","10.84","0","3.01145","302.24","83.9649","50.68","14.0793","17","89.4","0","19","8.48","251.76","16","89.2","0","17","7.64","242.44","2.3199999999999998","199.6","101.4","101.4","6.6352599999999998E-2","1.6588099999999999"
"NO_RI_1","Trial_39",19,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","3748.23","10.696999999999999","61","87.24","2.08","24.2333","112","181.76","2.16","50.488900000000001","52","82.88","0","23.022200000000002","344.96","95.822199999999995","12.8","3.5555599999999998","74","29.2","0","117","68.64","2.4","68","27.08","0","90","70.959999999999994","2.48","28.48","346.36","40.68","304.83999999999997","-1.82117","-45.529299999999999"
"NO_RI_6","Trial_40",19,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","2804.63","8.2742199999999997","63","161.12","8.8800000000000008","44.755600000000001","108","114.04","0.04","31.677800000000001","48","76.239999999999995","3.76","21.177800000000001","329.28","91.466700000000003","24.36","6.7666700000000004","33","15.92","0.04","113","65","21.96","21","15.6","0.04","82","67.88","22.04","5.08","349.04","8.8800000000000008","349.76","0.80751300000000004","20.187799999999999"
"NT","Trial_41",21,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2200.4","6.2242499999999996","48","70.48","15.88","19.579999999999998","96","92.12","0","25.591699999999999","48","191.56","0.08","53.216999999999999","334.76","92.999200000000002","24.32","6.75631","49","43.48","2.44","133","125","0","32","44.2","2.44","105","125.52","0","0.28000000000000003","335.88","56.24","314.68","0.75522500000000004","18.880600000000001"
"FO","Trial_42",21,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2472.04","6.9408000000000003","84","221.72","0","61.588900000000002","119","112.48","18.36","31.244399999999999","33","21.56","42.32","5.9888899999999996","343.44","95.4","15.4","4.2777799999999999","37","10.8","42.24","44","19.96","55.08","28","9.92","42.28","30","19.600000000000001","55.2","64.28","356.12","73.040000000000006","336.32","-2.6938800000000001","-67.346999999999994"
"NO_RI_1","Trial_43",21,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","2333.58","6.7351099999999997","88","129.56","0.36","36.004899999999999","165","129.24","0.24","35.915999999999997","78","93.28","0","25.922599999999999","335.8","93.319299999999998","19.559999999999999","5.4357499999999996","204","131.88","0","0","0","-","143","135.56","0","0","0","-","0.24","346.88","0.36","338.2","-3.5930399999999998","-89.826099999999997"
"NO_RI_6","Trial_44",21,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","2193.12","6.5693799999999998","23","16.559999999999999","41.12","4.5999999999999996","152","109.16","0.6","30.322199999999999","160","220.84","0","61.3444","329.48","91.522199999999998","24.64","6.8444399999999996","251","205.44","0","2","1.1599999999999999","4.04","161","217","0","1","1","4.12","0.6","321.16000000000003","51.64","312.95999999999998","-1.18723","-29.680800000000001"
"NT","Trial_45",23,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1946.17","5.4741600000000004","20","33.840000000000003","95.16","9.4","48","67.16","62.64","18.6556","30","253.72","0","70.477800000000002","327.68","91.022199999999998","32.04","8.9","76","88.6","0","67","93.04","2.52","56","89.96","0","48","92.32","2.56","-","-","104.16","323.60000000000002","0.49295099999999997","12.3238"
"FO","Trial_46",23,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1573.51","4.4947299999999997","53","158.19999999999999","0","43.9542","83","141.76","4.84","39.386499999999998","33","54.76","14.2","15.214499999999999","313.27999999999997","87.041600000000003","44.72","12.425000000000001","61","29.48","6.24","46","38.04","177.52","39","29.64","6.36","30","37.92","197.12","111.28","339.28","23.6","328.88","0.121583","3.0395699999999999"
"NO_RI_1","Trial_47",23,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","1605.43","4.6021999999999998","48","96.16","10.36","26.711099999999998","93","142.80000000000001","3.08","39.666699999999999","46","113.52","0","31.533300000000001","318.52","88.477800000000002","38.200000000000003","10.6111","38","28.96","0","72","54.08","10.76","31","28.2","0","47","55.64","10.84","3.08","353.36","10.36","332.4","-5.3414299999999998E-2","-1.3353600000000001"
"NO_RI_6","Trial_48",23,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","1876.88","5.2869700000000002","64","156.68","0","43.522199999999998","94","142.04","0.16","39.455599999999997","31","55.52","1.84","15.4222","331.88","92.188900000000004","26.96","7.4888899999999996","59","31.28","2.6","15","7.24","30.36","42","29.72","2.4","10","6.48","30.56","44.64","357.4","4.3600000000000003","230.52","-1.4940100000000001","-37.350299999999997"
"NT","Trial_49",25,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2429","6.8515300000000003","34","73.040000000000006","0.16","20.288900000000002","68","66.12","0.08","18.366700000000002","33","217.48","0.32","60.411099999999998","336.56","93.488900000000001","23","6.38889","102","72.959999999999994","4.24","96","92.2","1.32","67","73.44","4.24","66","93.92","1.4","300.16000000000003","359.88","0.16","325.60000000000002","-0.413022","-10.3255"
"FO","Trial_50",25,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1842.18","5.3908899999999997","48","87.96","5.88","24.433299999999999","97","98.32","1.52","27.3111","57","165.4","0","45.944400000000002","317.8","88.277799999999999","36.76","10.2111","93","60.56","0","49","30.96","40.04","71","63","0","34","31.76","40.119999999999997","1.52","358.28","5.88","355.16","-0.40598099999999998","-10.1495"
"NO_RI_1","Trial_51",25,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","1849.66","5.3353599999999997","56","105.4","3.68","29.287500000000001","106","122.08","0.92","33.922400000000003","55","124.76","0","34.667099999999998","323.04000000000002","89.763300000000001","32.520000000000003","9.0363500000000005","57","25.92","0.32","102","66.239999999999995","22.68","38","25.64","0.32","74","69.08","77.599999999999994","48.52","340.04","6.2","348.68","0.34360200000000002","8.5900599999999994"
"NO_RI_6","Trial_52",25,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","1550.92","4.6202300000000003","17","23.84","0.88","6.6318000000000001","65","96.68","0.2","26.894400000000001","63","224.64","0","62.490299999999998","309.2","86.013099999999994","41.92","11.661300000000001","114","53.56","0","87","83.2","6.32","68","56.16","0","56","86.76","6.48","0.2","258.92","0.88","305.8","0.46800000000000003","11.7"
"NT","Trial_53",27,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1964.41","5.51614","1","2.2400000000000002","238.24","0.62236100000000005","16","21.36","115.96","5.9346500000000004","21","331.84","0","92.198300000000003","314.88","87.486099999999993","44","12.2249","99","89.88","0.68","84","107.96","2.8","65","88.12","0.68","54","112.48","2.84","-","-","238.24","238.24","0.14693700000000001","3.6734399999999998"
"FO","Trial_54",27,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1017.6","2.86972","14","15.72","22.76","4.3666700000000001","49","53.6","13.76","14.8889","38","285.48","0","79.3","160.12","44.477800000000002","198.76","55.211100000000002","7","3.12","15.76","229","204.84","20.079999999999998","5","2.72","15.96","60","231.48","22.24","343.64","343.64","37.840000000000003","305","1.79897","44.974200000000003"
"NO_RI_1","Trial_55",27,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","446.774","1.27942","2","0.32","7.96","8.8888900000000007E-2","1","0.28000000000000003","9.56","7.7777799999999994E-2","9","354.68","0","98.522199999999998","60.68","16.855599999999999","292.44","81.2333","17","8.0399999999999991","0.64","31","11.84","0","199","82.32","0.64","25","13.92","0","9.56","9.56","-","-","-3.62059","-90.514600000000002"
"NO_RI_6","Trial_56",27,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","1171.56","3.4555199999999999","1","0.16","13.88","4.4444400000000002E-2","8","16.12","163.44","4.4777800000000001","13","338.24","0","93.955600000000004","264.39999999999998","73.444400000000002","90.04","25.011099999999999","49","35","1.56","11","9.48","163.4","29","29.76","1.56","8","9.32","163.68","-","-","-","-","0.37301800000000002","9.3254400000000004"
"NT","Trial_57",29,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2447.65","6.9049100000000001","35","72.400000000000006","51.2","20.1111","65","79.88","44.52","22.1889","32","203.92","0","56.644399999999997","335.4","93.166700000000006","24.44","6.7888900000000003","85","65.680000000000007","1.2","106","105.72","0","65","67.84","1.24","73","106.4","0","-","-","76.959999999999994","300","-0.11437","-2.8592599999999999"
"FO","Trial_58",29,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1762.94","5.0822900000000004","50","96.48","0.4","26.8","89","149.56","0","41.544400000000003","38","105.8","1.36","29.3889","306.92","85.255600000000001","47.36","13.1556","48","25.88","0.04","76","52.2","37.28","34","25.2","0.04","47","51.84","37.479999999999997","2.16","311.27999999999997","0.56000000000000005","276.24","5.4213499999999998E-2","1.35534"
"NO_RI_1","Trial_59",29,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","1851.95","5.4739500000000003","49","129.04","1.68","35.944299999999998","84","132.76","2.92","36.980499999999999","48","87.36","0","24.334299999999999","315.36","87.843999999999994","35.92","10.005599999999999","46","37.32","2","65","42.24","1.08","34","35.200000000000003","9.48","52","44.6","1.08","6.44","188.96","3.8","351.2","-0.292072","-7.3018000000000001"
"NO_RI_6","Trial_60",29,"F","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","1687.79","4.9565200000000003","40","90","0.24","25.041699999999999","68","154","2.04","42.849200000000003","51","105.24","0","29.2821","312.8","87.033900000000003","37.479999999999997","10.4285","71","50.32","0","87","55.12","8.36","52","51.92","0","55","58.8","8.48","2.04","287.8","113.44","334.36","-0.30211500000000002","-7.55288"
"NT","Trial_1",2,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2439.8000000000002","7.5516800000000002","52","61.04","107.04","16.9556","96","160.08000000000001","0.04","44.466700000000003","45","138.88","0","38.577800000000003","338.32","93.977800000000002","20.92","5.8111100000000002","64","65.44","0","200","109.8","3.92","38","66","0","137","111.8","3.96","0.04","327.08","155.44","333.92","-0.445849","-11.1462"
"FO","Trial_2",2,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","3263.56","9.1890000000000001","37","251","26.36","69.722200000000001","53","87.12","6.2","24.2","15","21.44","0","5.9555600000000002","343","95.277799999999999","16.16","4.4888899999999996","6","7.48","0","47","32.08","6.64","5","6.92","0","34","31.56","6.72","6.2","321.92","184.72","184.72","-0.564249","-14.106199999999999"
"NO_RI_1","Trial_3",2,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","2401.0700000000002","6.9944899999999999","63","241.12","4.2","66.977800000000002","66","114.72","0.92","31.866700000000002","6","4.08","0","1.1333299999999999","338.8","94.111099999999993","20.399999999999999","5.6666699999999999","8","2.56","0","50","27.6","0.92","5","2.48","0","32","27.96","4.04","0.92","0.92","202.68","266","-1.6090099999999999E-3","-4.0225200000000003E-2"
"NO_RI_6","Trial_4",2,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","2195.52","6.6904000000000003","81","146.84","4.68","40.788899999999998","112","186.28","0.92","51.744399999999999","38","25.6","0","7.11111","325.16000000000003","90.322199999999995","29.92","8.3111099999999993","0","0","-","247","105","0","0","0","-","158","111.68","0","0.92","274.83999999999997","4.68","351.12","-0.45147799999999999","-11.287000000000001"
"NT","Trial_5",4,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2516.25","7.3885800000000001","15","19.440000000000001","201.6","5.4","84","147.04","0.08","40.8444","69","193.48","0.04","53.744399999999999","334.24","92.844399999999993","25.6","7.11111","51","52.04","7.84","299","177.2","0.08","35","52.04","7.84","166","184","0.08","0.08","353.96","302.88","302.88","-0.66894200000000004","-16.723500000000001"
"FO","Trial_6",4,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1474.97","4.2693300000000001","20","293.72000000000003","2.68","81.588899999999995","23","62.48","2.6","17.355599999999999","2","3.56","0","0.98888900000000002","236.64","65.7333","122.6","34.055599999999998","6","2.52","310.8","4","2.88","0","4","2","324.2","2","2.76","0","2.6","2.6","2.68","164.4","0.538026","13.4506"
"NO_RI_1","Trial_7",4,"F","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","1889.62","5.4311999999999996","31","92.88","0","25.8","70","240.36","5.56","66.7667","40","26.68","27.48","7.4111099999999999","296.72000000000003","82.422200000000004","62.8","17.444400000000002","49","31.88","104.4","8","2.44","13.08","30","27.88","104.56","5","2.2799999999999998","13.08","51.76","295.68","142.47999999999999","148.12","0.295122","7.37805"
"NO_RI_6","Trial_8",4,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","923.94899999999996","2.8022200000000002","0","0","-","0","8","8.6","0.36","2.38889","13","350.52","0","97.366699999999994","151.80000000000001","42.166699999999999","204.16","56.711100000000002","7","2.04","0","18","12.72","0.36","4","1.64","0","13","12.48","0.36","0.36","64.44","-","-","2.50237","62.559199999999997"
"NT","Trial_9",6,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","3567.58","10.2919","90","48.6","118.76","13.5","191","175.92","0","48.866700000000002","100","135.47999999999999","0.16","37.633299999999998","346.16","96.155600000000007","13.64","3.7888899999999999","118","79.92","4.4800000000000004","173","94.52","0.08","78","82.88","4.5599999999999996","107","97.8","0","75.84","338.48","247.32","331.24","-0.41270400000000002","-10.317600000000001"
"FO","Trial_10",6,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2574.15","7.3902000000000001","83","110.36","33.96","30.6556","130","149.44","1.56","41.511099999999999","41","98.32","0","27.3111","337.12","93.644400000000005","19.600000000000001","5.4444400000000002","59","24.32","1.56","45","17.48","0","39","23.48","1.56","33","17.559999999999999","0","2.3199999999999998","135.47999999999999","114.72","280.2","0.487041","12.176"
"NO_RI_1","Trial_11",6,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","2085.48","5.9989600000000003","66","56.68","82.08","15.744400000000001","146","194.72","0.12","54.088900000000002","82","106.72","0","29.644400000000001","303.44","84.288899999999998","53.64","14.9","43","29.56","187.84","140","76.599999999999994","0","36","28.48","187.96","93","78.84","0","0.12","333.6","149.91999999999999","312.83999999999997","-0.65844400000000003","-16.461099999999998"
"NO_RI_6","Trial_12",6,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","2","1918.41","5.5323900000000004","41","64.8","11.56","18","98","180","1.76","50","48","113.44","0","31.511099999999999","317.72000000000003","88.255600000000001","39.56","10.988899999999999","22","16.16","55.04","77","39.520000000000003","0","17","16.600000000000001","55.12","50","38.520000000000003","0","28.64","359.24","30.36","238.36","-0.30095699999999997","-7.5239200000000004"
"NT","Trial_13",8,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2070.9499999999998","5.9771200000000002","49","52.48","0.16","14.5778","94","160.76","0.2","44.6556","46","146.52000000000001","1.32","40.700000000000003","331.6","92.111099999999993","27.68","7.6888899999999998","75","75.48","0.28000000000000003","96","87.92","10.28","49","75.959999999999994","0.28000000000000003","52","89.72","10.4","16.239999999999998","352.92","230.48","230.48","0.167405","4.1851200000000004"
"FO","Trial_14",8,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1986.07","5.93283","14","15.56","7.76","4.3222199999999997","105","140.12","0","38.922199999999997","98","198.56","1.88","55.1556","305.8","84.944400000000002","46.28","12.855600000000001","115","93.56","0","87","70.680000000000007","9.08","80","93.84","0","54","72.959999999999994","9.16","35.68","307.39999999999998","-","-","-0.32147900000000001","-8.0369799999999998"
"NO_RI_1","Trial_15",8,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","2046.94","6.0732900000000001","24","52.68","45.56","14.6333","72","111.76","0","31.0444","67","190.96","0.52","53.044400000000003","307.72000000000003","85.477800000000002","45.6","12.666700000000001","58","44.44","0.68","137","101.68","2.68","40","44.52","0.64","85","102.64","2.76","7.92","320.16000000000003","-","-","-0.36128100000000002","-9.0320300000000007"
"NO_RI_6","Trial_16",8,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","2068.0500000000002","6.3119500000000004","30","67.72","69.88","18.8111","71","98.04","20.2","27.2333","61","188.68","0","52.411099999999998","314.08","87.244399999999999","37.04","10.2889","130","116.64","9.6","68","40.520000000000003","0","77","117.32","9.68","46","40.24","0","36.840000000000003","323.44","212.88","212.88","0.64815699999999998","16.203900000000001"
