"Test","Trial","Subject","Sex","Strain","DOB","Testing_Date","Week_of_Enrichment","Novel_Object...9","Novel_Object...10","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"NO_RI_6","Trial_16",7,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","2487.9699999999998","7.3167","116","224.48","0","62.376300000000001","132","126.24","24.68","35.078400000000002","13","7.12","85.44","1.97844","334.68","92.997699999999995","22.72","6.3132200000000003","137","61.36","25.04","2","0.88","26.32","111","62.28","25.12","2","0.8","26.44","86.28","358.56","44.04","352.28","2.8934600000000001","72.336500000000001"
"NT","Trial_17",9,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","4893.1899999999996","13.805400000000001","52","28","0","7.7777799999999999","148","156.88","11.24","43.577800000000003","95","165.08","1.08","45.855600000000003","351.24","97.566699999999997","8.56","2.37778","183","79.8","2.04","203","100.28","1.08","140","83.96","2.04","159","101.28","1.08","66","283.2","80.599999999999994","283.76","2.7346599999999999","68.366500000000002"
"FO","Trial_18",9,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","3537.64","10.5337","96","98.48","0.4","27.364699999999999","181","160.6","0.56000000000000005","44.625999999999998","98","92.72","0","25.764099999999999","340.28","94.553700000000006","14.6","4.0569100000000002","170","63.2","0","162","58.12","17.600000000000001","129","60.68","0","103","58.56","17.68","0.56000000000000005","331.76","34.200000000000003","338.08","0.23070399999999999","5.7675900000000002"
"NO_RI_1","Trial_19",9,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","4927.8500000000004","13.822100000000001","144","141.44","0.12","39.288899999999998","177","199.24","0","55.3444","27","15.8","77.44","4.38889","354.32","98.422200000000004","5.2","1.4444399999999999","82","36.04","2.64","103","37.880000000000003","6.52","69","36.04","2.64","81","38.68","46.8","204.72","324.92","0.12","334.6","2.4301599999999999","60.754100000000001"
"NO_RI_6","Trial_20",9,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","3149.79","9.2260899999999992","93","86.6","0.48","24.055599999999998","173","165.16","0","45.877800000000001","90","98.68","12.04","27.411100000000001","340.48","94.577799999999996","16.72","4.6444400000000003","89","42.12","6.84","217","90.8","10.199999999999999","73","40.96","6.92","151","93.96","11.28","77.680000000000007","273.44","15.24","351.96","0.38593699999999997","9.6484199999999998"
"NT","Trial_21",11,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2240.5500000000002","6.4037800000000002","1","1","329.56","0.27777800000000002","27","29.04","154.68","8.0666700000000002","31","324.52","0","90.144400000000005","296.68","82.411100000000005","63.08","17.522200000000002","137","96.68","2.36","87","126.64","1.28","89","96.2","2.4","62","129.4","1.32","249.08","261.64","329.56","329.56","-0.220693","-5.5173199999999998"
"FO","Trial_22",11,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1808.79","5.5260699999999998","10","4.5999999999999996","0.08","1.29373","62","114.96","0.16","32.332099999999997","71","219.8","0","61.817999999999998","305.44","85.903899999999993","43.4","12.206099999999999","104","60.96","0","157","96.08","4.92","64","61","0","94","100.92","5.12","28.36","282.95999999999998","0.28000000000000003","29.24","0.248644","6.2161"
"NO_RI_1","Trial_23",11,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","2043.65","6.0764899999999997","11","6.92","49.56","1.92222","68","128","0","35.555599999999998","65","211.08","0.96","58.633299999999998","314.56","87.377799999999993","41.12","11.4222","81","62.36","1.24","111","123.08","0","56","62.4","1.8","79","127.4","0.2","1.68","159.76","61","167.12","-0.143147","-3.5786699999999998"
"NO_RI_6","Trial_24",11,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","1996.77","5.9484199999999996","7","4.6399999999999997","24.4","1.2888900000000001","58","184","0","51.1111","66","155.04","17","43.066699999999997","303.60000000000002","84.333299999999994","52.88","14.6889","125","83.16","2.6","94","104.72","0.24","75","88.52","2.68","66","109.52","0.24","58","304.2","-","-","0.63639000000000001","15.909700000000001"
"NT","Trial_25",13,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2114.38","6.05769","15","14.8","141.6","4.11111","51","117.52","27.72","32.644399999999997","45","216.56","0","60.1556","330.8","91.888900000000007","28.24","7.8444399999999996","102","90.36","0","78","127.8","6.04","58","94.32","0","47","131.36000000000001","6.04","-","-","-","-","0.17930299999999999","4.4825799999999996"
"FO","Trial_26",13,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1986.89","5.8252800000000002","73","234.96","4.08","65.361099999999993","76","114.24","0","31.779199999999999","6","5.2","0.2","1.4465300000000001","304.56","84.722399999999993","49","13.630800000000001","37","16.760000000000002","1.4","5","1.48","293.32","32","16.04","1.4","4","1.28","293.48","0.64","148","4.08","326.92","-0.18276000000000001","-4.569"
"NO_RI_1","Trial_27",13,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","1653.27","4.7661199999999999","60","80.92","17.32","22.4803","96","222.88","0","61.917999999999999","31","46.28","42.04","12.856999999999999","310.64","86.298500000000004","48.16","13.379300000000001","54","22.08","1.56","39","16.12","66.08","35","22.04","1.64","28","15.48","73.64","68.239999999999995","316.04000000000002","22.52","201.12","0.52371500000000004","13.0929"
"NO_RI_6","Trial_28",13,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","1915.6","5.5718300000000003","43","45.24","4.96","12.566700000000001","104","220.92","0.08","61.366700000000002","64","80.959999999999994","0","22.488900000000001","315.12","87.533299999999997","40.36","11.2111","155","88.44","0","17","10.56","10","114","87","0","13","10.36","10.08","0.08","314.8","6.36","330.36","-0.76254500000000003","-19.063600000000001"
"NT","Trial_29",15,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2234.34","6.2896599999999996","18","29.12","0","8.0906900000000004","43","67.48","0.2","18.7486","27","259.39999999999998","0.24","72.071600000000004","309.64","86.030199999999994","49.76","13.8253","88","102.2","0.24","85","91.12","43","57","102.32","0.24","56","91.44","43.08","353.56","353.56","215.04","343.48","0.50820399999999999","12.7051"
"FO","Trial_30",15,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1442.74","4.1066200000000004","21","327.60000000000002","0.36","91","18","29.36","0","8.1555599999999995","2","2.92","0.04","0.81111100000000003","303.44","84.288899999999998","56.08","15.5778","3","2.88","0","0","0","-","3","2.88","0","0","0","-","-","-","323.04000000000002","323.04000000000002","-0.24857699999999999","-6.2144300000000001"
"NO_RI_1","Trial_31",15,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","2275.9699999999998","6.4017999999999997","77","231.76","0","64.377799999999993","79","125.44","18.32","34.8444","5","1.84","195.72","0.51111099999999998","336.2","93.388900000000007","22.88","6.3555599999999997","12","2.2000000000000002","148.16","13","2.64","122.88","7","1.44","166.48","6","1.88","204.28","203.2","247.72","131.96","334.4","3.4081100000000002","85.202699999999993"
"NO_RI_6","Trial_32",15,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","1826.23","5.1758100000000002","60","231.08","1","64.188900000000004","70","119.12","21.04","33.088900000000002","10","6.96","0.16","1.93333","321.48","89.3","37.44","10.4","2","0.84","0.16","18","6.64","135.76","2","0.92","0.16","12","6.16","135.88","143.84","278.92","70.48","358.52","1.8730599999999999","46.826500000000003"
"NT","Trial_33",17,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1998.09","5.7199400000000002","7","8.0399999999999991","189.2","2.23333","36","54.28","1","15.0778","29","292.39999999999998","0","81.222200000000001","312.16000000000003","86.711100000000002","47.04","13.066700000000001","106","101.96","5.44","60","68.8","10.76","70","103.88","5.56","41","68.64","10.8","1","277.16000000000003","202.88","356.88","1.12408","28.1021"
"FO","Trial_34",17,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1518.13","4.4766899999999996","19","18.12","1.4","5.0333300000000003","55","109.92","0","30.533300000000001","55","221.16","14","61.433300000000003","286.76","79.655600000000007","66.52","18.477799999999998","105","47.24","2.2400000000000002","38","37.76","0.68","61","45.44","2.2799999999999998","25","35.479999999999997","0.68","115.72","348.4","259.04000000000002","259.04000000000002","-6.9673499999999999E-2","-1.7418400000000001"
"NO_RI_1","Trial_35",17,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","1069.74","3.17693","3","1.84","46.12","0.51111099999999998","32","52.56","0","14.6","80","294.72000000000003","0.12","81.866699999999994","219.28","60.911099999999998","131.36000000000001","36.488900000000001","8","5.92","96.28","131","131.63999999999999","1.84","5","6.2","96.52","62","128.80000000000001","1.88","144.28","176.72","-","-","0.92810400000000004","23.2026"
"NO_RI_6","Trial_36",17,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","1081.43","3.17767","11","19.64","183.28","5.4555600000000002","53","94.2","0.08","26.166699999999999","47","234.12","0.2","65.033299999999997","238.84","66.344399999999993","116.92","32.477800000000002","97","86.36","0.2","35","41.56","61.88","55","92.76","0.2","22","41.88","62.24","0.28000000000000003","209.64","265.16000000000003","354.16","0.42183500000000002","10.5459"
"NT","Trial_37",19,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2256.11","6.4423500000000002","47","58.16","118.4","16.1556","86","69.72","12.48","19.366700000000002","43","227.44","0","63.177799999999998","336.04","93.344399999999993","23.68","6.5777799999999997","95","73.08","0","108","107","6.72","65","74.28","0","73","108.72","6.8","108.2","356.56","118.4","357.28","-5.4891500000000003E-2","-1.37229"
"FO","Trial_38",19,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1796.38","5.3661899999999996","55","76.92","0.04","21.366700000000002","99","85.48","1.24","23.744399999999999","81","185.64","15.92","51.566699999999997","288.92","80.255600000000001","60.2","16.722200000000001","156","56.92","14.84","99","51.44","17.079999999999998","109","62.68","38.520000000000003","68","54.24","17.2","94.88","317.48","17.64","308.44","-0.22076100000000001","-5.5190400000000004"
"NO_RI_1","Trial_39",19,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","1886.07","5.5051500000000004","50","77.959999999999994","1.1599999999999999","21.730399999999999","102","107.44","0","29.947600000000001","60","166","5.36","46.270499999999998","316.88","88.326499999999996","37.44","10.4359","140","77.400000000000006","0","59","31.52","2.16","100","77.959999999999994","0","37","30.8","109.2","28.52","335.8","29.24","334.2","-0.61880500000000005","-15.4701"
"NO_RI_6","Trial_40",19,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","2373.65","6.9291600000000004","53","57.36","62.68","15.986599999999999","132","124.4","0","34.671100000000003","79","168.28","4.24","46.900799999999997","334.76","93.299899999999994","20.2","5.62988","143","93.04","3.36","43","20.8","41.56","101","95.92","5.92","34","20.399999999999999","41.72","16.32","272.95999999999998","73.040000000000006","336.12","1.06558","26.639500000000002"
"NT","Trial_41",21,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1201.93","3.3584800000000001","5","9.32","214.2","2.5888900000000001","15","23.72","167.16","6.5888900000000001","11","324.88","0","90.244399999999999","217.92","60.533299999999997","142.04","39.455599999999997","57","98.2","72.2","63","113.68","0","37","100.64","72.36","33","119.16","0","-","-","214.2","289.44","-0.103576","-2.5893999999999999"
"FO","Trial_42",21,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","145.584","1.1161000000000001","0","0","-","0","1","0.12","249.8","3.3333300000000003E-2","17","139.84","0","38.8444","21.68","6.0222199999999999","114.84","31.9","0","0","-","13","5.12","249.28","0","0","-","7","5.92","249.32","-","-","-","-","-1.7881100000000001","-44.702800000000003"
"NO_RI_1","Trial_43",21,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","157.88200000000001","0.92393400000000003","2","0.32","106.36","8.8888900000000007E-2","2","0.32","92.28","8.8888900000000007E-2","17","192.92","0","53.588900000000002","18.12","5.0333300000000003","168.76","46.877800000000001","15","191.2","0","5","1.04","91.96","13","191.28","0","4","0.88","91.96","92.28","92.64","-","-","4.7595499999999999","118.989"
"NO_RI_6","Trial_44",21,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","172.93100000000001","0.83044099999999998","0","0","-","0","0","0","-","0","19","228.76","0","63.544400000000003","24.36","6.7666700000000004","199.48","55.411099999999998","176","16.239999999999998","0.2","3","19.600000000000001","293.72000000000003","5","2.92","0.24","3","19.559999999999999","293.76","-","-","-","-","-0.78027899999999994","-19.507000000000001"
"NT","Trial_45",23,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2262.9","6.5889199999999999","38","44.12","34.28","12.2583","76","108.4","18.96","30.117799999999999","42","200.4","0","55.679000000000002","327.39999999999998","90.964699999999993","30.76","8.5463400000000007","189","130.56","0.44","49","55.28","24.76","116","133.6","0.44","34","56.16","31.36","20.88","320.95999999999998","128.4","351.24","-0.70474700000000001","-17.6187"
"FO","Trial_46",23,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1907.56","5.6217199999999998","56","109.24","1.2","30.3444","104","158.91999999999999","0.76","44.144399999999997","47","84.16","0","23.377800000000001","317.76","88.2667","39","10.833299999999999","51","26.8","0","129","69.239999999999995","2.84","33","25.96","0","77","75.44","2.84","0.76","346.28","1.2","350.72","-0.72567300000000001","-18.1418"
"NO_RI_1","Trial_47",23,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","2075.94","6.1717899999999997","30","67.319999999999993","14.52","18.7","90","146.72","4.5999999999999996","40.755600000000001","68","132.6","0","36.833300000000001","324.92","90.255600000000001","29.92","8.3111099999999993","176","86.48","0","55","31.96","5.68","99","90.96","0","37","33.04","8.56","4.5999999999999996","320.27999999999997","23.16","344.68","0.179282","4.4820599999999997"
"NO_RI_6","Trial_48",23,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","2471.4299999999998","7.1453300000000004","63","90.64","9.32","25.177800000000001","128","178.68","0","49.633299999999998","69","79.599999999999994","1.76","22.1111","339.2","94.222200000000001","18.52","5.1444400000000003","114","59.44","1.56","43","27.36","5.16","81","60.28","1.52","31","26.36","5.24","2.16","299.36","20.52","300.12","1.1247199999999999","28.117999999999999"
"NT","Trial_49",25,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1853.05","5.2607600000000003","30","70.400000000000006","36.72","19.555599999999998","70","65.16","0.04","18.100000000000001","48","216.72","0","60.2","317.95999999999998","88.322199999999995","41.56","11.5444","106","86.92","4.2","81","91.28","0","61","90.32","4.2","53","93.56","0","0.04","354.64","36.72","347.6","0.54000999999999999","13.5002"
"FO","Trial_50",25,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2212.11","6.2580999999999998","85","229.68","8.0399999999999991","63.8","107","100.56","0.12","27.933299999999999","25","26.72","60.28","7.4222200000000003","334.84","93.011099999999999","23.16","6.4333299999999998","10","2.52","187.32","85","38.96","0.16","9","2.3199999999999998","187.44","59","38.92","0.92","94.36","189.44","89.04","326.8","-3.3050600000000001","-82.626499999999993"
"NO_RI_1","Trial_51",25,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","2565.79","7.2308399999999997","134","238.48","0","66.244399999999999","154","111.52","3.16","30.977799999999998","16","8.1199999999999992","8.76","2.25556","339.72","94.366699999999994","19.68","5.4666699999999997","8","2.76","44.48","104","36.4","5.68","7","2.52","44.6","85","35.68","5.76","228.96","291.32","25.68","348.52","2.4577200000000001","61.442900000000002"
"NO_RI_6","Trial_52",25,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","1696.97","4.9005799999999997","72","266.64","0.48","74.066699999999997","87","84.36","0","23.433299999999999","13","7.08","10.68","1.9666699999999999","304.83999999999997","84.677800000000005","54.72","15.2","75","28.96","9.92","14","8.08","302.83999999999997","52","29","10.039999999999999","10","7.6","303","11.64","356.28","0.48","348.04","2.96705","74.176299999999998"
"NT","Trial_53",27,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2201.19","6.2250800000000002","2","3.56","0","0.98888900000000002","12","7.56","251","2.1","11","346.56","3.44","96.2667","266.76","74.099999999999994","93.08","25.855599999999999","93","159.72","3.44","107","88.84","5.52","62","163.28","3.44","43","110.44","5.56","-","-","-","-","1.3087299999999999","32.718200000000003"
"FO","Trial_54",27,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1413.14","4.3384999999999998","23","39.04","0.24","10.8444","51","72.8","0","20.222200000000001","40","239.76","1.84","66.599999999999994","258.95999999999998","71.933300000000003","94.96","26.377800000000001","84","30.12","0","23","103.36","8.32","47","29","0","19","103.12","8.36","103.84","103.84","0.24","291.39999999999998","-0.79287399999999997","-19.821899999999999"
"NO_RI_1","Trial_55",27,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","1801.49","5.5382800000000003","19","13.48","51.88","3.7494399999999999","93","81.44","0","22.6524","101","248.84","0.2","69.214500000000001","306.2","85.1691","43.04","11.971500000000001","213","104.08","1.2","62","52.48","20.079999999999998","145","110","2.68","47","51.28","20.16","78.64","351.8","51.88","346.84","0.43361699999999997","10.840400000000001"
"NO_RI_6","Trial_56",27,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","1631.98","4.9926000000000004","0","0","-","0","10","4.08","18.52","1.1333299999999999","35","351","0","97.5","267.92","74.422200000000004","84.52","23.477799999999998","282","227.48","0.88","0","0","-","185","243.24","1.08","0","0","-","-","-","-","-","1.47458","36.8645"
"NT","Trial_57",29,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1445.47","4.0598400000000003","12","11.24","0.12","3.12222","26","34.68","0","9.6333300000000008","15","310.95999999999998","0.52","86.377799999999993","221.6","61.555599999999998","137.47999999999999","38.188899999999997","90","156.72","0","29","99.88","4.72","53","159.80000000000001","0","23","99.72","4.76","-","-","0.12","263.64","-0.59455100000000005","-14.863799999999999"
"FO","Trial_58",29,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","321.488","0.90939000000000003","1","0.08","6.6","2.2222200000000001E-2","4","0.84","7.2","0.23333300000000001","10","356.76","0.08","99.1","26.92","7.4777800000000001","330.08","91.688900000000004","23","347.2","0.08","2","3.44","0.48","17","347.52","0.08","2","3.44","0.48","7.2","126.64","-","-","2.40984","60.245899999999999"
"NO_RI_1","Trial_59",29,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","379.49799999999999","1.05792","0","0","-","0","0","0","-","0","1","360","0","100","47.28","13.1333","312.64","86.844399999999993","946","215.6","0","0","0","-","6","358.64","0","0","0","-","-","-","-","-","0.135657","3.3914300000000002"
"NO_RI_6","Trial_60",29,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","27.462","2.6818399999999998","0","0","-","0","0","0","-","0","3","11.52","0","3.2","5.92","1.6444399999999999","5.36","1.48889","8","8.44","0","0","0","-","6","8.36","0","0","0","-","-","-","-","-","1.49743","37.435699999999997"
"NT","Trial_1",2,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2724.6","7.9844099999999996","26","22.8","125.84","6.3333300000000001","57","191.92","45.44","53.311100000000003","32","145.28","0","40.355600000000003","341.8","94.944400000000002","18.16","5.0444399999999998","70","88.36","3.52","75","70.16","0.76","56","88.64","3.56","52","69.16","0.76","303.08","303.08","214.36","214.36","0.62811799999999995","15.702999999999999"
"FO","Trial_2",2,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2168.2199999999998","6.7052899999999998","4","1.92","295.12","0.53333299999999995","41","62.28","48.12","17.3","50","291.68","0","81.022199999999998","303.27999999999997","84.244399999999999","49.96","13.877800000000001","74","61.36","0","125","119.64","3.16","58","61.52","0","81","122.24","3.16","243.24","313.88","-","-","-0.25213999999999998","-6.3035100000000002"
"NO_RI_1","Trial_3",2,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","1925.18","6.1342699999999999","41","32.72","3.92","9.0888899999999992","142","180.84","3.76","50.2333","99","132.52000000000001","0","36.811100000000003","296.95999999999998","82.488900000000001","44.4","12.333299999999999","12","17.16","0","247","205.68","8.68","9","17.2","0","144","216","8.68","3.76","351.68","16.28","185.68","-9.0135000000000007E-2","-2.2533799999999999"
"NO_RI_6","Trial_4",2,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","93.124300000000005","2.5983299999999998","0","0","-","0","22","3.52","0.6","0.97777800000000004","21","46.16","0.12","12.8222","20.8","5.7777799999999999","26.56","7.3777799999999996","0","0","-","22","44.28","0.12","0","0","-","19","44.36","0.12","0.6","88.36","-","-","-0.15345200000000001","-3.83629"
"NT","Trial_5",4,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2701.06","7.85832","12","24.92","165.52","6.9222200000000003","65","156.88","0","43.577800000000003","53","178.16","0.12","49.488900000000001","321.36","89.2667","38.4","10.666700000000001","93","121.92","30","94","93.32","0","57","122.68","30.08","53","94.84","0","21.36","91.96","-","-","-2.2263999999999999","-55.6599"
"FO","Trial_6",4,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1765.35","5.0583200000000001","30","296.83999999999997","0","82.455600000000004","38","57.84","3.36","16.066700000000001","9","5.28","114.64","1.4666699999999999","240.24","66.7333","119.56","33.211100000000002","4","1.52","114.88","22","6.08","15.32","4","1.32","114.92","17","5.08","15.4","293.52","319.83999999999997","7.08","7.08","-0.96713899999999997","-24.1785"
"NO_RI_1","Trial_7",4,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","1580.84","4.72682","11","11.52","0","3.2","82","137.4","1.4","38.166699999999999","62","206.36","14.08","57.322200000000002","260.2","72.277799999999999","93.44","25.9556","3","0.6","61.24","255","297.44","2.3199999999999998","2","0.48","61.28","82","307.56","2.4","18.96","317.68","250.96","250.96","-0.22134200000000001","-5.53355"
"NO_RI_6","Trial_8",4,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","719.976","2.0679500000000002","1","2.16","0.96","0.6","6","11.84","0","3.2888899999999999","5","345.32","9.8000000000000007","95.922200000000004","124.2","34.5","234.72","65.2","0","0","-","112","342.48","0","0","0","-","11","354.16","0.04","315.60000000000002","315.60000000000002","-","-","5.20669","130.167"
"NT","Trial_9",6,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3117.69","9.1880600000000001","67","52.04","191.52","14.4556","106","143","43.2","39.722200000000001","40","164.96","0","45.822200000000002","342.16","95.044399999999996","17.48","4.8555599999999997","57","37.840000000000003","0.8","228","149.16","1.88","35","37.72","13.8","131","150.19999999999999","1.96","126.6","323.83999999999997","243.76","243.76","-1.09196","-27.2989"
"FO","Trial_10",6,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2911.16","8.2590699999999995","89","247.36","0","68.711100000000002","100","104.96","7.2","29.1556","11","7.6","264.48","2.11111","343.24","95.344399999999993","16.399999999999999","4.5555599999999998","14","4.5999999999999996","51.12","78","26.32","162.6","10","3.72","51.28","47","26.52","162.68","287.32","317.60000000000002","10.6","323.92","2.21895","55.4739"
"NO_RI_1","Trial_11",6,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","3872.6","10.973000000000001","117","220.76","4.6399999999999997","61.322200000000002","118","135.88","0","37.744399999999999","7","2.2000000000000002","4.16","0.61111099999999996","349.24","97.011099999999999","8.9600000000000009","2.48889","57","18.32","18.440000000000001","7","4.6399999999999997","0","44","15.84","18.559999999999999","5","4.4800000000000004","0","12.76","12.76","106.56","355.2","7.2599900000000002","181.5"
"NO_RI_6","Trial_12",6,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","3921.92","11.047700000000001","106","208.44","0","57.9","109","148.16","0.44","41.1556","7","3.28","11.96","0.911111","352.12","97.811099999999996","7.64","2.12222","41","12.64","0.6","22","3.8","3.52","30","10.76","0.8","11","3","3.6","-","-","93.4","346.48","5.1683899999999996","129.21"
"NT","Trial_13",8,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2115.3000000000002","6.2112499999999997","0","0","-","0","35","115.68","139.91999999999999","32.133299999999998","36","244.32","0","67.866699999999994","282.92","78.588899999999995","77","21.3889","56","67.16","40.799999999999997","110","179.28","0","32","69.56","40.76","51","180.6","0","247.04","264.95999999999998","-","-","-1.0646100000000001","-26.615300000000001"
"FO","Trial_14",8,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2045.07","6.24641","0","0","-","0","9","9.64","0.52","2.6777799999999998","22","348.96","0","96.933300000000003","319.44","88.7333","38.479999999999997","10.6889","26","15.68","129.19999999999999","129","79.52","0.04","11","14.88","161.08000000000001","55","82.48","0.04","-","-","-","-","-1.0039400000000001","-25.098400000000002"
"NO_RI_1","Trial_15",8,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","1976.63","6.2933899999999996","0","0","-","0","0","0","-","0","65","353.96","0","98.322199999999995","291.60000000000002","81","58.96","16.377800000000001","0","0","-","210","208.52","0","0","0","-","160","213.92","0","-","-","-","-","-2.0228899999999999","-50.572299999999998"
"NO_RI_6","Trial_16",8,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","2237.16","6.8996899999999997","0","0","-","0","23","18.64","61.32","5.1777800000000003","34","340.12","0","94.477800000000002","312.2","86.722200000000001","45.52","12.644399999999999","48","19.36","32.68","162","167.32","0","25","18.68","131.52000000000001","75","173.24","0","169.56","257.83999999999997","-","-","-0.727275","-18.181899999999999"
"NT","Trial_17",10,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3589.71","10.339","56","50.48","0.08","14.0222","93","199.4","0.32","55.3889","37","110.04","0.36","30.566700000000001","345.28","95.911100000000005","14.28","3.9666700000000001","97","54.44","0.32","115","97.84","3.6","62","53.28","0.32","74","95.68","3.68","98.96","98.96","279.64","330.6","-1.1364799999999999","-28.411999999999999"
"FO","Trial_18",10,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2579.79","7.3273000000000001","50","243.92","0","67.755600000000001","47","113.04","6.48","31.4","4","2.56","25.64","0.71111100000000005","333.08","92.522199999999998","26.12","7.25556","12","2.2400000000000002","195.16","12","2.84","40.24","7","1.2","205.96","6","2.04","271.52","-","-","77.760000000000005","109.88","-0.14834","-3.7084999999999999"
"NO_RI_1","Trial_19",10,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","2423.2199999999998","6.8896300000000004","48","179","18.28","49.722200000000001","50","180.24","0","50.066699999999997","3","0.68","309.60000000000002","0.188889","334.08","92.8","25.6","7.11111","3","0.6","52.64","28","8.32","0.04","1","0.12","52.84","17","7.28","0.12","-","-","186.44","336.32","0.19394400000000001","4.8486000000000002"
"NO_RI_6","Trial_20",10,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","1792.54","5.0653800000000002","10","17.28","0.64","4.8","36","296.95999999999998","0","82.488900000000001","25","45.76","14.12","12.7111","316.48","87.911100000000005","43.32","12.033300000000001","1","0.2","12.24","72","53.4","0","0","0","-","49","52.92","0","16.04","309.32","0.64","0.64","-0.36791499999999999","-9.19787"
"NT","Trial_21",12,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3364.18","9.8436900000000005","57","46.72","135.44","12.9778","126","136","42.36","37.777799999999999","70","177.16","0.04","49.211100000000002","346.68","96.3","13.16","3.6555599999999999","94","59.32","0.04","126","104.88","3.64","63","60.84","0.84","88","105.28","3.64","281.32","281.32","314.36","314.36","-0.90644499999999995","-22.661100000000001"
